Name	Class	Joined	Job	TicketCost	Age	Gender	Survived	Department
"CHAMBERS, Mrs Bertha"	1st Class Passenger	Southampton		53.1	32	Female	True	
"CHAUDANSON, Miss Victorine"	1st Class Passenger	Cherbourg	Personal Maid	262.375	36	Female	True	Servant
"CHERRY, Miss Gladys"	1st Class Passenger	Southampton	Of Independent Means	86.5	30	Female	True	
"CHEVR�, Mr Paul Romaine Marie L�once"	1st Class Passenger	Cherbourg	Sculptor	29.7	45	Male	True	
"CHIBNALL, Mrs Edith Martha Bowerman"	1st Class Passenger	Southampton	Of Independent Means	55	48	Female	True	
"CHISHOLM, Mr Roderick Robert Crispin"	1st Class Passenger	Belfast	Draughtsman	0	43	Male	False	H&W Guarantee Group
"CLARK, Mr Walter Miller"	1st Class Passenger	Cherbourg		136.7791667	27	Male	False	
"CLARK, Mrs Virginia Estelle"	1st Class Passenger	Cherbourg		136.7791667	26	Female	True	
"CLEAVER, Miss Alice Catherine"	1st Class Passenger	Southampton	Nursemaid	151.8	22	Female	True	Servant
"CLIFFORD, Mr George Quincy"	1st Class Passenger	Southampton		52	40	Male	False	
"COLLEY, Mr Edward Pomeroy"	1st Class Passenger	Southampton		25.5875	37	Male	False	
"COMPTON, Mrs Mary Eliza"	1st Class Passenger	Cherbourg		83.15833333	64	Female	True	
"COMPTON, Miss Sara Rebecca"	1st Class Passenger	Cherbourg		83.15833333	39	Female	True	
"COMPTON, Mr Alexander Taylor jr"	1st Class Passenger	Cherbourg		83.15833333	37	Male	False	
"CORNELL, Mrs Malvina Helen"	1st Class Passenger	Southampton		25.74166667	55	Female	True	
"CRAFTON, Mr John Bertram"	1st Class Passenger	Southampton	Businessman	26.55	59	Male	False	
"CROSBY, Captain Edward Gifford"	1st Class Passenger	Southampton		71	70	Male	False	
"CROSBY, Mrs Catherine Elizabeth"	1st Class Passenger	Southampton		71	64	Female	True	
"CROSBY, Miss Harriette Rebecca"	1st Class Passenger	Southampton		26.55	39	Female	True	
"CUMINGS, Mr John Bradley"	1st Class Passenger	Cherbourg		71.28333333	39	Male	False	
"CUMINGS, Mrs Florence Briggs"	1st Class Passenger	Cherbourg		71.28333333	35	Female	True	
"DALY, Mr Peter Dennis"	1st Class Passenger	Southampton	Businessman	26.55	51	Male	True	
"DANIEL, Mr Robert Williams"	1st Class Passenger	Southampton		30.5	27	Male	True	
"DANIELS, Miss Sarah Rebecca"	1st Class Passenger	Southampton	Personal Maid	151.8	33	Female	True	Servant
"DAVIDSON, Mr Thornton"	1st Class Passenger	Cherbourg		52	31	Male	False	
"DAVIDSON, Mrs Orian"	1st Class Passenger	Cherbourg		52	27	Female	True	
"DICK, Mr Albert Adrian"	1st Class Passenger	Southampton		57	31	Male	True	
"DICK, Mrs Vera"	1st Class Passenger	Southampton		57	17	Female	True	
"DODGE, Dr Washington"	1st Class Passenger	Southampton	Politician	81.85833333	52	Male	True	
"DODGE, Mrs Ruth"	1st Class Passenger	Southampton		81.85833333	34	Female	True	
"DODGE, Master Washington"	1st Class Passenger	Southampton		81.85833333	4	Male	True	
"DOUGLAS, Mr Walter Donald"	1st Class Passenger	Cherbourg		106.425	50	Female	False	
"DOUGLAS, Mrs Mahala"	1st Class Passenger	Cherbourg		106.425	48	Female	True	
"DOUGLAS, Mrs Mary H�l�ne"	1st Class Passenger	Cherbourg		247.5208333	27	Female	True	
"DUFF GORDON, Sir Cosmo Edmund"	1st Class Passenger	Cherbourg	Landowner	39.6	49	Male	True	
"DUFF GORDON, Lucy Christiana, Lady"	1st Class Passenger	Cherbourg	Dressmaker / Couturi?re	56.92916667	48	Female	True	
"DULLES, Mr William Crothers"	1st Class Passenger	Cherbourg		29.7	39	Male	False	
"EARNSHAW, Mrs Olive"	1st Class Passenger	Cherbourg	Of Independent Means	83.15833333	23	Female	True	
"ENDRES, Miss Caroline Louise"	1st Class Passenger	Cherbourg	Nurse	247.525	39	Female	True	Servant
"EUSTIS, Miss Elizabeth Mussey"	1st Class Passenger	Cherbourg		78.26666667	54	Female	True	
"EVANS, Miss Edith Corse"	1st Class Passenger	Cherbourg		31.67916667	36	Female	False	
"FARTHING, Mr John"	1st Class Passenger	Southampton	Servant	221.7791667	57	Male	False	Servant
"FLEGENHEIM, Mrs Antoinette"	1st Class Passenger	Cherbourg		31.68333333	48	Female	True	
"FLEMING, Miss Margaret"	1st Class Passenger	Cherbourg	Personal Maid	110.8833333	42	Female	True	Servant
"FLYNN, Mr John Irwin"	1st Class Passenger	Southampton		26.2875	36	Male	True	
"FOREMAN, Mr Benjamin Laventall"	1st Class Passenger	Southampton		27.75	30	Male	False	
"FORTUNE, Mr Mark"	1st Class Passenger	Southampton		263	64	Male	False	
"FORTUNE, Mrs Mary"	1st Class Passenger	Southampton		263	60	Female	True	
"FORTUNE, Miss Ethel Flora"	1st Class Passenger	Southampton		263	28	Female	True	
"FORTUNE, Miss Alice Elizabeth"	1st Class Passenger	Southampton		263	24	Female	True	
"FORTUNE, Miss Mabel Helen"	1st Class Passenger	Southampton		263	23	Female	True	
"FORTUNE, Mr Charles Alexander"	1st Class Passenger	Southampton		263	19	Male	False	
"FRANCATELLI, Miss Laura Mabel"	1st Class Passenger	Cherbourg	Secretary	56.92916667	31	Female	True	Servant
"FRANKLIN, Mr Thomas Parnham"	1st Class Passenger	Southampton		26.55	37	Male	False	
"FRAUENTHAL, Mr Isaac Gerald"	1st Class Passenger	Cherbourg		27.72083333	43	Male	True	
"FRAUENTHAL, Dr Henry William"	1st Class Passenger	Southampton	Doctor	133.65	49	Male	True	
"FRAUENTHAL, Mrs Clara"	1st Class Passenger	Southampton		133.65	42	Female	True	
"FR�LICHER, Miss Hedwig Margaritha"	1st Class Passenger	Cherbourg		49.5	22	Female	True	
"FR�LICHER-STEHLI, Mr Maximilian Josef"	1st Class Passenger	Cherbourg		79.2	60	Male	True	
"FR�LICHER-STEHLI, Mrs Margaretha Emerentia"	1st Class Passenger	Cherbourg		79.2	48	Female	True	
"FRY, Mr Richard"	1st Class Passenger	Southampton	Servant	0	39	Male	False	Servant
"FUTRELLE, Mr Jacques Heath"	1st Class Passenger	Southampton	Writer	53.1	37	Male	False	
"FUTRELLE, Mrs Lily May"	1st Class Passenger	Southampton		53.1	35	Female	True	
"GEE, Mr Arthur H."	1st Class Passenger	Southampton		38.5	47	Male	False	
"GIBSON, Mrs Pauline Caroline"	1st Class Passenger	Cherbourg		59.4	44	Female	True	
"GIBSON, Miss Dorothy Winifred"	1st Class Passenger	Cherbourg		59.4	22	Female	True	
"GIEGER, Miss Amalie"	1st Class Passenger	Southampton	Personal Maid	211.5	35	Female	True	Servant
"GIGLIO, Mr Victor Gaitan Andrea"	1st Class Passenger	Cherbourg	Servant	79.2	23	Male	False	Servant
"GOLDENBERG, Mr Samuel L."	1st Class Passenger	Cherbourg		89.10416667	47	Male	True	
"GOLDENBERG, Mrs Nella"	1st Class Passenger	Cherbourg		89.10416667	40	Female	True	
"GOLDSCHMIDT, Mr George B."	1st Class Passenger	Cherbourg	Lawyer	34.65416667	71	Male	False	
"GRACIE, Colonel Archibald"	1st Class Passenger	Southampton	Writer	28.5	53	Male	True	
"GRAHAM, Mr George Edward"	1st Class Passenger	Southampton	Sales Manager	30	38	Male	False	
"GRAHAM, Mrs Edith"	1st Class Passenger	Southampton		153.4625	59	Female	True	
"GRAHAM, Miss Margaret Edith"	1st Class Passenger	Southampton		153.4625	19	Female	True	
"GREENFIELD, Mrs Blanche"	1st Class Passenger	Cherbourg		63.35833333	45	Female	True	
"GREENFIELD, Mr William Bertram"	1st Class Passenger	Cherbourg		63.35833333	23	Male	True	
"GUGGENHEIM, Mr Benjamin"	1st Class Passenger	Cherbourg	Businessman	79.2	46	Male	False	
"HARDER, Mr George Achilles"	1st Class Passenger	Cherbourg	Businessman	55.44166667	25	Male	True	
"HARDER, Mrs Dorothy"	1st Class Passenger	Cherbourg		55.44166667	21	Female	True	
"HARPER, Mr Henry Sleeper"	1st Class Passenger	Cherbourg	Of Independent Means	76.72916667	48	Male	True	
"HARPER, Mrs Myra Raymond"	1st Class Passenger	Cherbourg		76.72916667	49	Female	True	
"HARRINGTON, Mr Charles Henry"	1st Class Passenger	Southampton	Servant	42.4	37	Male	False	Servant
"HARRIS, Mr Henry Birkhardt"	1st Class Passenger	Southampton	Theatre Manager	83.475	45	Male	False	
"HARRIS, Mrs Irene"	1st Class Passenger	Southampton		83.475	35	Female	True	
"HARRISON, Mr William Henry"	1st Class Passenger	Southampton	Secretary	0	45	Male	False	Servant
"HASSAB, Mr Hammad"	1st Class Passenger	Cherbourg	Servant	76.72916667	27	Male	True	Servant
"HAWKSFORD, Mr Walter James"	1st Class Passenger	Southampton	Sales Manager	30	45	Male	True	
"HAYS, Mr Charles Melville"	1st Class Passenger	Southampton	Businessman	93.5	55	Male	False	
"HAYS, Mrs Clara Jennings"	1st Class Passenger	Southampton		93.5	52	Female	True	
"HAYS, Miss Margaret Bechstein"	1st Class Passenger	Cherbourg		83.15833333	24	Female	True	
"HEAD, Mr Christopher"	1st Class Passenger	Southampton	Politician	42.5	42	Male	False	
"HILLIARD, Mr Herbert Henry"	1st Class Passenger	Southampton	Buyer	51.8625	44	Male	False	
"HIPKINS, Mr William Edward"	1st Class Passenger	Southampton	Manufacturer	50	55	Male	False	
"HIPPACH, Mrs Ida Sophia"	1st Class Passenger	Cherbourg		57.97916667	44	Female	True	
"HIPPACH, Miss Jean Gertrude"	1st Class Passenger	Cherbourg		57.97916667	17	Female	True	
"HOGEBOOM, Mrs Anna Louisa"	1st Class Passenger	Cherbourg	Of Independent Means	77.95833333	51	Female	True	
"HOLVERSON, Mr Alexander Oskar"	1st Class Passenger	Southampton		52	42	Male	False	
"HOLVERSON, Mrs Mary Aline"	1st Class Passenger	Southampton		52	35	Female	True	
"HOMER, Mr Harry"	1st Class Passenger	Southampton	Gambler	26.55	40	Male	True	
"HOYT, Mr Frederick Maxfield"	1st Class Passenger	Southampton		100	38	Male	True	
"HOYT, Mrs Jane Anne"	1st Class Passenger	Southampton		100	31	Female	True	
"HOYT, Mr William Fisher"	1st Class Passenger	Cherbourg	Businessman	30.69583333	42	Male	False	
"ICARD, Miss Rose Am�lie"	1st Class Passenger	Southampton	Personal Maid	80	39	Female	True	Servant
"ISHAM, Miss Ann Elizabeth"	1st Class Passenger	Cherbourg		28.7125	50	Female	False	
"ISMAY, Mr Joseph Bruce"	1st Class Passenger	Southampton	Shipowner	0	49	Male	True	
"JONES, Mr Charles Cresson"	1st Class Passenger	Southampton	Estate Manager	26	46	Male	False	
"JULIAN, Mr Henry Forbes"	1st Class Passenger	Southampton	Metallurgist	26	50	Male	False	
"KEEPING, Mr Edwin Herbert"	1st Class Passenger	Southampton	Servant	211.5	33	Male	False	Servant
"KENT, Mr Edward Austin"	1st Class Passenger	Cherbourg	Architect	29.7	58	Male	False	
"KENYON, Mr Frederick Roland"	1st Class Passenger	Southampton		51.8625	41	Male	False	
"KENYON, Mrs Marion Estelle"	1st Class Passenger	Southampton		51.8625	40	Female	True	
"KIMBALL, Mr Edwin Nelson Jr."	1st Class Passenger	Southampton		52.55416667	42	Male	True	
"KIMBALL, Mrs Susan Gertrude"	1st Class Passenger	Southampton		52.55416667	45	Female	True	
"KLABER, Mr Herman"	1st Class Passenger	Southampton	Businessman	26.55	42	Male	False	
"KREUCHEN, Miss Emilie"	1st Class Passenger	Southampton	Personal Maid	211.3375	29	Female	True	Servant
"LEADER, Dr Alice May"	1st Class Passenger	Southampton	Doctor	25.92916667	49	Male	True	
"LEROY, Miss Berthe"	1st Class Passenger	Cherbourg	Personal Maid	106.425	27	Female	True	Servant
"LESUEUR, Mr Gustave J."	1st Class Passenger	Cherbourg	Servant	512.3291667	35	Male	True	Servant
"LEWY, Mr Ervin G."	1st Class Passenger	Cherbourg	Jeweller	27.72083333	30	Male	False	
"LINDEBERG-LIND, Mr Erik Gustaf"	1st Class Passenger	Southampton	Businessman	26.55	42	Male	False	
"LINDSTR�M, Mrs Sigrid"	1st Class Passenger	Cherbourg		27.72083333	55	Female	True	
"LINES, Mrs Elizabeth Lindsey"	1st Class Passenger	Cherbourg		39.4	50	Female	True	
"LINES, Miss Mary Conover"	1st Class Passenger	Cherbourg		39.4	16	Female	True	
"LONG, Mr Milton Clyde"	1st Class Passenger	Southampton		30	29	Male	False	
"LONGLEY, Miss Gretchen Fiske"	1st Class Passenger	Cherbourg		77.95833333	21	Female	True	
"LORING, Mr Joseph Holland"	1st Class Passenger	Southampton	Stockbroker	45.5	30	Male	False	
"LURETTE, Miss Eug�nie Elise"	1st Class Passenger	Cherbourg	Personal Maid	146.5208333	59	Female	True	Servant
"MADILL, Miss Georgette Alexandra"	1st Class Passenger	Southampton		211.3375	16	Female	True	
"MAGUIRE, Mr John Edward"	1st Class Passenger	Southampton		26	30	Male	False	
"MAIONI, Miss Roberta Elizabeth Mary"	1st Class Passenger	Southampton	Personal Maid	86.5	19	Female	True	Servant
"MAR�CHAL, Mr Pierre"	1st Class Passenger	Cherbourg	Aviator	29.7	29	Male	True	
"MARVIN, Mr Daniel Warner"	1st Class Passenger	Southampton	Of Independent Means	53.1	18	Male	False	
"MARVIN, Mrs Mary Graham Carmichael"	1st Class Passenger	Southampton		53.1	18	Female	True	
"MAYN�, Mlle Berthe Antonine"	1st Class Passenger	Cherbourg	Singer	49.50416667	24	Female	True	
"MCCAFFRY, Mr Thomas Francis"	1st Class Passenger	Southampton	Banker	75.24166667	46	Male	False	
"MCCARTHY, Mr Timothy J."	1st Class Passenger	Southampton	Buyer	51.8625	54	Male	False	
"MCGOUGH, Mr James Robert"	1st Class Passenger	Southampton	Buyer	26.2875	35	Male	True	
"MEYER, Mr Edgar Joseph"	1st Class Passenger	Cherbourg	Mechanical Engineer	82.17083333	28	Male	False	
"MEYER, Mrs Leila"	1st Class Passenger	Cherbourg		82.17083333	25	Female	True	
"MILLET, Mr Francis Davis"	1st Class Passenger	Cherbourg	Artist	26.55	65	Male	False	
"MINAHAN, Dr William Edward"	1st Class Passenger	Queenstown	Merchant	90	44	Male	False	
"MINAHAN, Mrs Lillian E."	1st Class Passenger	Queenstown		90	37	Female	True	
"MINAHAN, Miss Daisy E."	1st Class Passenger	Queenstown		90	33	Female	True	
"MOCK, Mr Philipp Edmund"	1st Class Passenger	Cherbourg		57.75	30	Male	True	
"MOLSON, Mr Harry Markland"	1st Class Passenger	Southampton	Businessman	30.5	55	Male	False	
"MOORE, Mr Clarence Bloomfield"	1st Class Passenger	Southampton	Businessman	42.4	47	Male	False	
"NATSCH, Mr Charles"	1st Class Passenger	Cherbourg		29.7	36	Male	False	
"NEWELL, Mr Arthur Webster"	1st Class Passenger	Cherbourg		113.275	58	Male	False	
"NEWELL, Miss Marjorie Anne"	1st Class Passenger	Cherbourg		113.275	23	Female	True	
"NEWELL, Miss Madeleine"	1st Class Passenger	Cherbourg		113.275	31	Female	True	
"NEWSOM, Miss Helen Monypeny"	1st Class Passenger	Southampton		26.28333333	19	Female	True	
"NICHOLSON, Mr Arthur Ernest"	1st Class Passenger	Southampton		26	59	Male	False	
"NOURNEY, Mr Alfred"	1st Class Passenger	Cherbourg	Gentleman	13.8625	20	Male	True	
"OLIVA Y OCANA, Do�a Fermina"	1st Class Passenger	Cherbourg	Personal Maid	108.9	39	Male	True	Servant
"OMONT, Mr Alfred Fernand"	1st Class Passenger	Cherbourg	Dealer	25.74166667	29	Male	True	
"OSTBY, Mr Engelhart Cornelius"	1st Class Passenger	Southampton	Jeweller	61.97916667	64	Male	False	
"OVI�S Y RODR�GUEZ, Mr Servando Jos� Florentino"	1st Class Passenger	Cherbourg	Merchant	27.72083333	36	Male	False	
"PARR, Mr William Henry Marsh"	1st Class Passenger	Belfast	Electrician	0	29	Male	False	H&W Guarantee Group
"PARTNER, Mr Austin"	1st Class Passenger	Southampton	Stockbroker	28.5	40	Male	False	
"PAYNE, Mr Vivian Ponsonby"	1st Class Passenger	Southampton	Clerk	93.5	22	Male	False	Servant
"PEARS, Mr Thomas Clinton"	1st Class Passenger	Southampton	Of Independent Means	66.6	29	Male	False	
"PEARS, Mrs Edith"	1st Class Passenger	Southampton		66.6	22	Female	True	
"PE�ASCO Y CASTELLANA, Mr Victor"	1st Class Passenger	Cherbourg	Of Independent Means	108.9	24	Male	False	
"PE�ASCO Y CASTELLANA, Mrs Maria Josefa Perezde Soto y Vallejo"	1st Class Passenger	Cherbourg	Of Independent Means	108.9	22	Female	True	
"PERREAULT, Miss Mary Anne"	1st Class Passenger	Southampton	Personal Maid	93.5	33	Female	True	Servant
"PEUCHEN, Major Arthur Godfrey"	1st Class Passenger	Southampton		30.5	52	Male	True	
"PORTER, Mr Walter Chamberlain"	1st Class Passenger	Southampton		52	46	Male	False	
"POTTER, Mrs Lily Alexenia"	1st Class Passenger	Cherbourg		83.15833333	56	Female	True	
"REUCHLIN, Mr Jonkheer Johan George"	1st Class Passenger	Cherbourg		0	38	Male	False	
"RHEIMS, Mr George Alexander Lucien"	1st Class Passenger	Cherbourg	Businessman	39.6	33	Male	True	
"RIGHINI, Mr Sante"	1st Class Passenger	Cherbourg	Servant	135.6333333	22	Male	False	Servant
"ROBERT, Mrs Elisabeth Walton"	1st Class Passenger	Southampton	Of Independent Means	211.3375	43	Female	True	
"ROBINS, Mr Victor"	1st Class Passenger	Cherbourg	Servant	247.525	42	Male	False	Servant
"ROEBLING, Mr Washington Augustus II"	1st Class Passenger	Southampton	Of Independent Means	50.49583333	31	Male	False	
"ROMAINE, Mr Charles Hallace"	1st Class Passenger	Southampton		26.55	45	Male	True	
"ROOD, Mr Hugh Roscoe"	1st Class Passenger	Southampton	Businessman	50	39	Male	False	
"ROSENBAUM, Miss Edith Louise"	1st Class Passenger	Cherbourg	Journalist	27.72083333	33	Female	True	
"ROSENSHINE, Mr George"	1st Class Passenger	Cherbourg	Merchant	79.2	46	Male	False	
"ROSS, Mr John Hugo"	1st Class Passenger	Southampton		40.125	36	Male	False	
"ROTHES, Lucy No�l Martha, Countess of"	1st Class Passenger	Southampton	Of Independent Means	86.5	33	Female	True	
"ROTHSCHILD, Mr Martin"	1st Class Passenger	Cherbourg		59.4	46	Male	False	
"ROTHSCHILD, Mrs Elizabeth Jane Anne"	1st Class Passenger	Cherbourg		59.4	54	Female	True	
"ROWE, Mr Alfred G."	1st Class Passenger	Southampton	Landowner	26.55	59	Male	False	
"RYERSON, Mr Arthur Larned"	1st Class Passenger	Cherbourg		262.375	61	Male	False	
"RYERSON, Mrs Emily Maria"	1st Class Passenger	Cherbourg		262.375	48	Female	True	
"RYERSON, Miss Emily Borie"	1st Class Passenger	Cherbourg		262.375	18	Female	True	
"RYERSON, Miss Susan Parker ""Suzette"""	1st Class Passenger	Cherbourg		262.375	21	Female	True	
"RYERSON, Master John Borie"	1st Class Passenger	Cherbourg		262.375	13	Male	True	
"SAALFELD, Mr Adolphe"	1st Class Passenger	Southampton	Businessman	30.5	47	Male	True	
"SALOMON, Mr Abraham Lincoln"	1st Class Passenger	Cherbourg	Businessman	26	43	Male	True	
"S�GESSER, Mlle Emma"	1st Class Passenger	Cherbourg	Personal Maid	69.3	24	Female	True	Servant
"SCHABERT, Mrs Emma"	1st Class Passenger	Cherbourg		57.75	35	Female	True	
"SERREPLAN, Miss Auguste"	1st Class Passenger	Southampton	Personal Maid	31	30	Female	True	Servant
"SEWARD, Mr Frederic Kimber"	1st Class Passenger	Southampton	Lawyer	26.55	34	Male	True	
"SHUTES, Miss Elizabeth Weed"	1st Class Passenger	Southampton	Governess	153.4625	40	Female	True	Servant
"SILVERTHORNE, Mr Spencer Victor"	1st Class Passenger	Southampton		26.2875	35	Male	True	
"SILVEY, Mr William Baird"	1st Class Passenger	Cherbourg	Businessman	55.9	51	Male	False	
"SILVEY, Mrs Alice Gray"	1st Class Passenger	Cherbourg		55.9	39	Female	True	
"SIMONIUS-BLUMER, Mr Colonel (Oberst) Alfons"	1st Class Passenger	Southampton	Banker	35.5	56	Male	True	
"SLOPER, Mr William Thompson"	1st Class Passenger	Southampton	Stockbroker	35.5	28	Male	True	
"SMART, Mr John Montgomery"	1st Class Passenger	Southampton		26.55	56	Male	False	
"SMITH, Mr James Clinch"	1st Class Passenger	Cherbourg	Military	30.69583333	56	Male	False	
"SMITH, Mr Richard William"	1st Class Passenger	Southampton		26	57	Male	False	
"SMITH, Mr Lucian Philip"	1st Class Passenger	Cherbourg		60	24	Male	False	
"SMITH, Mrs Mary Eloise"	1st Class Passenger	Cherbourg		60	18	Female	True	
"SNYDER, Mr John Pillsbury"	1st Class Passenger	Southampton		82.26666667	24	Male	True	
"SNYDER, Mrs Nelle"	1st Class Passenger	Southampton		82.26666667	23	Female	True	
"SPEDDEN, Mr Frederic Oakley"	1st Class Passenger	Cherbourg		134.5	45	Male	True	
"SPEDDEN, Mrs Margaretta Corning"	1st Class Passenger	Cherbourg		134.5	39	Female	True	
"SPEDDEN, Master Robert Douglas"	1st Class Passenger	Cherbourg		134.5	6	Male	True	
"SPENCER, Mr William Augustus"	1st Class Passenger	Cherbourg		146.5208333	57	Male	False	
"SPENCER, Mrs Marie Eugenie"	1st Class Passenger	Cherbourg		146.5208333	45	Female	True	
