Id	Longitude	Latitude	GeoName	StateAbb	State	County	TotalPop	MedAge	Education	Unemployment	Income	MedHomeValue	Obama	Zipcodes	Winner	RealZip	ElectoralFraction	ZipNumbers
85	-85.33906	33.525844	Ranburne town	AL	Alabama	Cleburne County	483	40.2	8.3	9.4	16499	84375	0.1537	36273	Romney	36273	0.001492136	36273.0
86	-86.170472	31.220079	Kinston town	AL	Alabama	Coffee County	568	41.4	12.9	4.6	16523	71667	0.2485	36453	Romney	36453	0.0017547270000000002	36453.0
87	-85.784891	31.343709000000004	Enterprise city	AL	Alabama	Coffee County	24346	38.0	28.4	8.2	23404	120549	0.2485	36330	Romney	36330	0.075212313	36330.0
88	-85.92283499999999	31.378341	New Brockton town	AL	Alabama	Coffee County	1301	44.5	14.5	8.8	17838	81951	0.2485	36351	Romney	36351	0.004019191	36351.0
89	-86.076497	31.417465999999997	Elba city	AL	Alabama	Coffee County	4186	40.6	16.5	12.6	15703	89044	0.2485	36323	Romney	36323	0.012931847	36323.0
90	-87.700823	34.755943	Sheffield city	AL	Alabama	Colbert County	9186	41.4	19.4	14.8	18638	87755	0.391	35660	Romney	35660	0.028378391	35660.0
91	-87.96691	34.75744	Cherokee town	AL	Alabama	Colbert County	1171	41.0	9.5	11.2	19242	75132	0.391	35616	Romney	35616	0.003617581	35616.0
92	-87.641739	34.747601	Muscle Shoals city	AL	Alabama	Colbert County	12662	40.4	21.1	9.2	22755	118517	0.391	35661	Romney	35661	0.039116828	35661.0
93	-87.672258	34.595202	Littleville town	AL	Alabama	Colbert County	965	39.9	10.6	10.8	17460	83571	0.391	35654	Romney	35654	0.002981183	35654.0
94	-87.705365	34.725458	Tuscumbia city	AL	Alabama	Colbert County	7872	44.5	16.4	10.4	20726	95761	0.391	35674	Romney	35674	0.024319039	35674.0
95	-87.529045	34.698614	Leighton town	AL	Alabama	Colbert County	806	42.3	10.1	11.9	16145	71071	0.391	35646	Romney	35646	0.002489983	35646.0
96	-87.026915	31.300145	Castleberry town	AL	Alabama	Conecuh County	550	41.5	6.3	17.6	12899	65938	0.506	36432	Romney	36432	0.00169912	36432.0
97	-86.956981	31.438491	Evergreen city	AL	Alabama	Conecuh County	3611	39.5	16.2	19.6	15705	76037	0.506	36401	Romney	36401	0.011155493999999998	36401.0
98	-87.240521	31.408315999999996	Repton town	AL	Alabama	Conecuh County	256	39.7	13.0	19.6	15807	72500	0.506	36475	Romney	36475	0.000790863	36475.0
99	-86.21508	32.889578	Rockford town	AL	Alabama	Coosa County	457	41.8	11.8	8.8	17064	74000	0.4148	35136	Romney	35136	0.001411814	35136.0
100	-86.051606	33.060704	Goodwater city	AL	Alabama	Coosa County	1527	40.0	6.7	17.3	13854	54804	0.4148	35072	Romney	35072	0.004717375	35072.0
101	-86.467341	31.357957	Heath town	AL	Alabama	Covington County	241	44.1	25.7	9.6	24136	98333	0.2045	36420	Romney	36420	0.0007445230000000001	36420.0
102	-86.522707	31.233802	Carolina town	AL	Alabama	Covington County	204	42.5	9.0	5.6	15384	79167	0.2045	36420	Romney	36420	0.000630219	36420.0
103	-86.48019000000001	31.309263	Andalusia city	AL	Alabama	Covington County	8884	41.8	19.9	11.1	19166	81593	0.2045	36420	Romney	36420	0.02744542	36420.0
104	-86.460072	31.242829999999998	Libertyville town	AL	Alabama	Covington County	97	42.5	26.1	9.8	20291	80000	0.2045	36420	Romney	36420	0.000299663	36420.0
105	-86.54119200000001	31.35244	River Falls town	AL	Alabama	Covington County	577	40.6	9.7	9.2	14979	73235	0.2045	36476	Romney	36476	0.001782531	36476.0
106	-86.25537	31.290549	Opp city	AL	Alabama	Covington County	6145	43.0	16.1	10.9	18603	74833	0.2045	36467	Romney	36467	0.018983803	36467.0
107	-86.350503	31.012765	Lockhart town	AL	Alabama	Covington County	521	47.7	6.6	13.0	12740	55000	0.2045	36455	Romney	36455	0.00160953	36455.0
108	-86.32203299999999	31.237436	Horn Hill town	AL	Alabama	Covington County	224	42.7	8.2	10.9	16879	80833	0.2045	36467	Romney	36467	0.000692005	36467.0
109	-86.32291	31.302198999999998	Babbie town	AL	Alabama	Covington County	595	42.9	4.6	11.1	15144	63125	0.2045	36467	Romney	36467	0.001838139	36467.0
110	-86.27845699999999	31.224562	Onycha town	AL	Alabama	Covington County	200	40.9	6.5	11.1	16186	80000	0.2045	36467	Romney	36467	0.000617862	36467.0
111	-86.396672	31.300538	Sanford town	AL	Alabama	Covington County	264	41.9	17.2	10.0	18969	86429	0.2045	36420	Romney	36420	0.0008155780000000001	36420.0
112	-86.484139	31.409232	Gantt town	AL	Alabama	Covington County	232	45.8	11.6	6.7	17668	67857	0.2045	36476	Romney	36476	0.00071672	36476.0
113	-86.31356099999999	31.017702000000003	Florala city	AL	Alabama	Covington County	1847	43.6	9.3	15.0	13988	57459	0.2045	36455	Romney	36455	0.005705953000000001	36455.0
114	-86.60838299999999	31.405533000000002	Red Level town	AL	Alabama	Covington County	523	38.5	8.2	13.3	14605	56905	0.2045	36474	Romney	36474	0.001615709	36474.0
115	-86.256918	31.582251	Brantley town	AL	Alabama	Crenshaw County	910	43.6	10.6	9.4	15049	67857	0.3191	36009	Romney	36009	0.0028112709999999997	36009.0
116	-86.205698	31.849444000000002	Petrey town	AL	Alabama	Crenshaw County	60	39.4	9.5	14.8	13798	70000	0.3191	36035	Romney	36035	0.000185359	36035.0
117	-86.308042	31.733362	Rutledge town	AL	Alabama	Crenshaw County	454	41.4	12.0	9.8	15453	78846	0.3191	36049	Romney	36049	0.001402546	36049.0
118	-86.173004	31.667615	Glenwood town	AL	Alabama	Crenshaw County	182	44.4	26.2	7.4	22625	73333	0.3191	36034	Romney	36034	0.000562254	36034.0
119	-86.265558	31.707798999999998	Luverne city	AL	Alabama	Crenshaw County	2530	43.5	20.5	9.5	17348	88000	0.3191	36049	Romney	36049	0.007815951	36049.0
120	-86.369398	31.503121999999998	Dozier town	AL	Alabama	Crenshaw County	426	42.2	10.2	9.9	14258	69500	0.3191	36028	Romney	36028	0.001316046	36028.0
121	-86.863158	34.236003000000004	South Vinemont town	AL	Alabama	Cullman County	431	44.7	17.3	7.2	21824	120000	0.1462	35179	Romney	35179	0.001331492	35179.0
122	-86.748427	34.016662	Garden City town	AL	Alabama	Cullman County	593	42.7	7.7	8.8	16004	80714	0.1462	35070	Romney	35070	0.00183196	35070.0
123	-86.948091	34.238476	West Point town	AL	Alabama	Cullman County	313	39.2	15.1	9.7	19894	113462	0.1462	35179	Romney	35179	0.0009669539999999999	35179.0
124	-86.90158199999999	33.94502	Colony town	AL	Alabama	Cullman County	400	38.6	6.0	10.4	15661	82143	0.1462	35033	Romney	35033	0.001235724	35033.0
125	-86.88509499999999	34.044849	Dodge City town	AL	Alabama	Cullman County	648	40.2	12.9	11.2	19830	104779	0.1462	35077	Romney	35077	0.002001872	35077.0
126	-86.608225	34.260887	Baileyton town	AL	Alabama	Cullman County	739	38.0	15.5	9.5	16352	87941	0.1462	35019	Romney	35019	0.002282999	35019.0
127	-86.839911	34.178034999999994	Cullman city	AL	Alabama	Cullman County	14227	42.2	22.3	9.8	20335	126274	0.1462	35055	Romney	35055	0.043951597	35055.0
128	-86.864839	34.111117	Good Hope town	AL	Alabama	Cullman County	2128	38.2	14.8	9.3	18255	100633	0.1462	35057	Romney	35057	0.006574049	35057.0
129	-86.683487	34.247134	Fairview town	AL	Alabama	Cullman County	527	37.3	12.7	7.1	17140	98000	0.1462	35019	Romney	35019	0.001628066	35019.0
130	-86.763697	34.063543	Hanceville city	AL	Alabama	Cullman County	3170	40.8	8.7	12.9	17709	91563	0.1462	35077	Romney	35077	0.009793109	35077.0
131	-86.614653	34.172298	Holly Pond town	AL	Alabama	Cullman County	668	37.1	10.1	9.8	16159	108929	0.1462	35083	Romney	35083	0.002063658	35083.0
132	-85.493429	31.315604999999998	Midland City town	AL	Alabama	Dale County	1692	36.2	8.3	10.3	15885	77979	0.2842	36350	Romney	36350	0.0052271109999999996	36350.0
133	-85.715429	31.342812	Fort Rucker CDP	AL	Alabama	Dale County	5990	24.1	29.5	16.2	12379	120833	0.2842	36362	Romney	36362	0.01850496	36362.0
134	-85.543048	31.31727	Pinckard town	AL	Alabama	Dale County	634	43.4	9.9	9.7	18127	75208	0.2842	36371	Romney	36371	0.001958622	36371.0
135	-85.454725	31.314882	Napier Field town	AL	Alabama	Dale County	373	39.9	8.0	12.3	19021	64286	0.2842	36350	Romney	36350	0.001152312	36350.0
136	-85.647992	31.450246999999997	Ozark city	AL	Alabama	Dale County	14693	41.0	15.3	14.7	18544	94693	0.2842	36360	Romney	36360	0.045391215	36360.0
137	-85.724735	31.243558	Clayhatchee town	AL	Alabama	Dale County	569	40.4	10.7	11.2	17689	80000	0.2842	36322	Romney	36322	0.001757817	36322.0
138	-85.450415	31.300033000000003	Grimes town	AL	Alabama	Dale County	422	34.0	8.0	11.1	17126	54091	0.2842	36350	Romney	36350	0.0013036880000000001	36350.0
139	-85.589247	31.342463000000002	Newton town	AL	Alabama	Dale County	1585	41.1	13.6	9.9	19223	74796	0.2842	36371	Romney	36371	0.004896554	36371.0
140	-85.73390699999999	31.289699	Daleville city	AL	Alabama	Dale County	4477	36.8	14.9	15.4	20432	87944	0.2842	36322	Romney	36322	0.013830836	36322.0
141	-85.767896	31.30735	Level Plains town	AL	Alabama	Dale County	1313	38.9	16.9	11.9	20378	83478	0.2842	36322	Romney	36322	0.004056262	36322.0
142	-85.712897	31.598029999999998	Ariton town	AL	Alabama	Dale County	728	39.7	11.0	12.1	13633	67059	0.2842	36311	Romney	36311	0.0022490170000000003	36311.0
143	-87.245474	32.306763000000004	Orrville town	AL	Alabama	Dallas County	196	39.3	9.2	19.6	12146	64167	0.6970000000000001	36767	Romney	36767	0.000605505	36767.0
144	-87.007362	32.378448999999996	Selmont-West Selmont CDP	AL	Alabama	Dallas County	3139	29.0	4.7	31.9	9197	42246	0.6970000000000001	36703	Romney	36703	0.00969734	36703.0
145	-87.033461	32.416428	Selma city	AL	Alabama	Dallas County	18698	37.7	21.2	23.2	15740	80924	0.6970000000000001	36701	Romney	36701	0.057763895999999995	36701.0
146	-85.875073	34.4608	Shiloh town	AL	Alabama	DeKalb County	317	40.6	10.8	11.2	20033	100735	0.2187	35971	Romney	35971	0.000979311	35971.0
147	-85.838708	34.267593	Collinsville town	AL	Alabama	DeKalb County	1743	37.7	8.3	15.5	14383	69063	0.2187	35961	Romney	35961	0.005384665	35961.0
148	-85.898087	34.532488	Powell town	AL	Alabama	DeKalb County	982	39.0	11.9	20.3	16137	78864	0.2187	35986	Romney	35986	0.0030337009999999998	35986.0
149	-85.669034	34.702152000000005	Ider town	AL	Alabama	DeKalb County	727	41.4	10.7	15.3	17299	82391	0.2187	35981	Romney	35981	0.002245928	35981.0
150	-85.986391	34.383722	Lakeview town	AL	Alabama	DeKalb County	172	39.1	5.9	15.9	17136	83000	0.2187	35974	Romney	35974	0.0005313609999999999	35974.0
151	-85.584061	34.566245	Mentone town	AL	Alabama	DeKalb County	513	43.2	16.8	9.7	18357	87500	0.2187	35984	Romney	35984	0.001584815	35984.0
152	-85.62133399999999	34.557421000000005	Valley Head town	AL	Alabama	DeKalb County	690	38.6	10.7	11.5	16710	80667	0.2187	35989	Romney	35989	0.002131623	35989.0
153	-85.83212900000001	34.566927	Sylvania town	AL	Alabama	DeKalb County	1310	38.4	8.9	13.5	16181	83750	0.2187	35988	Romney	35988	0.004046995	35988.0
154	-85.78093100000001	34.448417	Pine Ridge town	AL	Alabama	DeKalb County	263	39.2	11.9	18.3	16693	82857	0.2187	35968	Romney	35968	0.000812488	35968.0
155	-85.993504	34.286784999999995	Crossville town	AL	Alabama	DeKalb County	1495	38.8	10.8	14.7	16424	100223	0.2187	35962	Romney	35962	0.004618517	35962.0
156	-85.69704200000001	34.455261	Fort Payne city	AL	Alabama	DeKalb County	13314	38.5	15.1	11.8	20222	97322	0.2187	35967	Romney	35967	0.041131058	35967.0
157	-85.639645	34.568690999999994	Hammondville town	AL	Alabama	DeKalb County	535	38.6	13.3	10.6	19785	94500	0.2187	35989	Romney	35989	0.00165278	35989.0
158	-86.003723	34.357717	Geraldine town	AL	Alabama	DeKalb County	835	39.7	10.8	13.4	16678	97037	0.2187	35974	Romney	35974	0.002579573	35974.0
159	-85.90498000000001	34.449584	Fyffe town	AL	Alabama	DeKalb County	1042	39.3	7.1	15.0	16901	79063	0.2187	35971	Romney	35971	0.00321906	35971.0
160	-85.84436600000001	34.494175	Rainsville city	AL	Alabama	DeKalb County	5057	40.7	10.3	13.9	18217	97517	0.2187	35986	Romney	35986	0.015622635	35986.0
161	-85.739579	34.631422	Henagar town	AL	Alabama	DeKalb County	2491	38.1	6.7	11.7	17783	86667	0.2187	35978	Romney	35978	0.0076954680000000004	35978.0
162	-86.37028000000001	32.501329999999996	Millbrook city	AL	Alabama	Elmore County	14074	33.2	21.9	10.3	20731	125911	0.2519	36054	Romney	36054	0.043478932000000005	36054.0
163	-86.187033	32.498839000000004	Blue Ridge CDP	AL	Alabama	Elmore County	1592	49.7	36.9	8.4	38094	209524	0.2519	36093	Romney	36093	0.00491818	36093.0
164	-85.871988	32.54534	Tallassee city	AL	Alabama	Elmore County	4988	39.7	13.5	13.5	18872	85433	0.2519	36078	Romney	36078	0.015409471999999999	36078.0
165	-86.316191	32.541824	Elmore town	AL	Alabama	Elmore County	323	32.0	14.6	11.5	19665	123750	0.2519	36025	Romney	36025	0.000997847	36025.0
